sample,total_in,total_out,raw_matched,raw_unmatched,excluded_bx,corrected_bx
AdultAdrenalGland_1,40197964,10693338,38473630,1724334,,
AdultAdrenalGland_2,42821424,8206325,40842116,1979308,,
AdultAdrenalGland_3,30165090,9171220,28782443,1382647,,
AdultBladder_1,43688632,16667590,41518132,2170500,,
AdultBoneMarrow_1,39341553,12129916,36445635,2895918,,
AdultBoneMarrow_4,17165919,3211677,16065279,1100640,,
AdultBoneMarrow_5,20281433,4184493,18969883,1311550,,
AdultBoneMarrowcKit_1,47515629,21310442,45190488,2325141,,
AdultBoneMarrowcKit_2,59485293,28463288,55969533,3515760,,
AdultBoneMarrowcKit_3,23334777,5493758,21908584,1426193,,
AdultBrain_1,73138339,11820373,66036865,7101474,,
AdultBrain_2,11712560,852762,10950422,762138,,
AdultMammaryGlandInvolution_1,26471745,4610674,23978550,2493195,,
AdultMammaryGlandInvolution_2,12560264,1271373,11481350,1078914,,
AdultOmentum_1,54798821,3193282,52161285,2637536,,
AdultOmentum_2,48979458,5810976,46665534,2313924,,
AdultOmentum_3,33549074,1836559,31736939,1812135,,
AdultPleura_1,33693284,8484536,32295895,1397389,,
AdultPleura_2,37710218,8114801,36187031,1523187,,
AdultProstate_1,22361697,1144453,20486601,1875096,,
AdultProstate_2,23147882,1630100,21238641,1909241,,
AdultStomach_1,34427639,13874244,32839455,1588184,,
AdultStomach_2,42453070,9571726,41531070,922000,,
FetalBrain_1,48492004,9266876,45878973,2613031,,
FetalEmbryonicMesenchyme_1,27465220,2774591,25717907,1747313,,
FetalEmbryonicStemCells_1,39933756,350794,33194939,6738817,,
FetalFemaleGonad_1,67069553,15989371,62727652,4341901,,
FetalHeart_1,26701046,5742983,25111906,1589140,,
FetalHeart_2,67216237,15914101,63536380,3679857,,
FetalIntestine_1,60922574,8736363,57551772,3370802,,
FetalKidney_1,21336245,5946812,19993365,1342880,,
FetalKidney_2,53149227,12959359,49295816,3853411,,
FetalLiver_1,15428240,2370353,14536021,892219,,
FetalLung_1,45887740,10248957,42999057,2888683,,
FetalMaleGonad_1,29639844,7279615,27926108,1713736,,
FetalMaleGonad_2,20847933,4419406,19519140,1328793,,
FetalPancreas_1,34274828,9232100,33061050,1213778,,
FetalPancreas_2,47054970,13009404,45434572,1620398,,
FetalStomach_1,61361860,7753421,58138579,3223281,,
FetalStomach_2,74295517,13557537,71633452,2662065,,
Kidney_2,24905431,3608474,23316334,1589097,,
Liver_1,41098865,7252997,38314326,2784539,,
Liver_2,13581973,214964,12127588,1454385,,
Lung_1,59761006,21544551,56620478,3140528,,
Lung_2,31724429,8618403,29968648,1755781,,
Lung_3,22837038,4449935,21451788,1385250,,
MammaryGlandLactation_1,23989889,4523205,22491916,1497973,,
MammaryGlandLactation_2,24934343,7140453,23245394,1688949,,
MammaryGlandPregnancy_1,73229871,18409536,68535651,4694220,,
MammaryGlandVirgin_1,22232302,6329602,20820785,1411517,,
MammaryGlandVirgin_2,40951028,13608752,39065391,1885637,,
MammaryGlandVirgin_3,11302605,680917,10287652,1014953,,
MammaryGlandVirgin_4,10850074,1668646,10054967,795107,,
MesenchymalStemCells_1,31010533,8755820,28705335,2305198,,
MesenchymalStemCellsPrimary_1,27465220,207720,25717907,1747313,,
Muscle_1,17262198,1911090,16105489,1156709,,
NeonatalCalvaria_1,13008877,2192681,12235394,773483,,
NeonatalCalvaria_2,22443693,5330795,21038083,1405610,,
NeonatalHeart_1,30933467,3266656,28959424,1974043,,
NeonatalMuscle_1,13292732,1655698,12527995,764737,,
NeonatalMuscle_2,22604984,4262600,20859851,1745133,,
NeonatalPancreas_1,29482482,10406215,27758967,1723515,,
NeonatalPancreas_2,60211434,20103358,56998581,3212853,,
NeonatalRib_1,11120015,1874716,10452306,667709,,
NeonatalRib_2,29881197,7156498,27970216,1910981,,
NeonatalRib_3,15514742,1082521,14502821,1011921,,
NeonatalSkin_1,21602509,3925233,20298340,1304169,,
NeontalBrain_1,30609015,3100368,27824713,2784302,,
NeontalBrain_2,18429074,2963676,16558452,1870622,,
NeontalBrain_3,67230579,12524043,63642970,3587609,,
Ovary_1,66167693,31789862,62927946,3239747,,
Ovary_2,9292433,951053,8748333,544100,,
Pancreas_1,64217168,13847369,61016225,3200943,,
PeripheralBlood_1,20205829,3471112,18702859,1502970,,
PeripheralBlood_2,13853878,3589710,12958999,894879,,
PeripheralBlood_3,12698042,2135247,11784808,913234,,
PeripheralBlood_4,14881684,109173,13580687,1300997,,
PeripheralBlood_5,15305306,305078,13943956,1361350,,
PeripheralBlood_6,16069702,616463,14429507,1640195,,
Placenta_1,14263317,1491400,13186718,1076599,,
Placenta_2,28765421,3948951,26846084,1919337,,
SmallIntestine_1,48519832,12374833,45978883,2540949,,
SmallIntestine_2,27116343,5207461,25122527,1993816,,
SmallIntestine_3,21229383,4264697,19787698,1441685,,
Spleen_1,39872266,10149432,37765295,2106971,,
Testis_1,51804918,18211643,49305040,2499878,,
Testis_2,15250033,8065417,14249393,1000640,,
Thymus_1,59112222,10185631,55320295,3791927,,
Uterus_1,51811114,29955030,49831822,1979292,,
Uterus_2,27868326,3752176,26133467,1734859,,
