sample,cts_total,cts_unaligned,cts_unique,cts_multi
AdultAdrenalGland_1,10198397,978321,7448245,1771831
AdultAdrenalGland_2,7681792,829801,5426397,1425594
AdultAdrenalGland_3,8768624,1029756,6223007,1515861
AdultBladder_1,15463383,1181775,11044118,3237490
AdultBoneMarrow_1,11452944,786548,9313688,1352708
AdultBoneMarrow_4,2943247,193903,2332822,416522
AdultBoneMarrow_5,3868001,259944,3070115,537942
AdultBoneMarrowcKit_1,19570202,1482444,13769306,4318452
AdultBoneMarrowcKit_2,25322295,3884933,17167070,4270292
AdultBoneMarrowcKit_3,5154727,350805,4004968,798954
AdultBrain_1,9072617,4185859,3682322,1204436
AdultBrain_2,782756,46310,618741,117705
AdultMammaryGlandInvolution_1,4164814,397614,3022069,745131
AdultMammaryGlandInvolution_2,1148202,102464,833468,212270
AdultOmentum_1,2549258,827214,1420628,301416
AdultOmentum_2,4833093,1577631,2622599,632863
AdultOmentum_3,1644861,373434,1103070,168357
AdultPleura_1,8171901,802006,6176662,1193233
AdultPleura_2,7769724,625397,5964198,1180129
AdultProstate_1,997727,84588,785238,127901
AdultProstate_2,1436719,113310,1139238,184171
AdultStomach_1,13011421,1000057,9418582,2592782
AdultStomach_2,9147932,994693,6562085,1591154
FetalBrain_1,8440199,546873,6069895,1823431
FetalEmbryonicMesenchyme_1,2570453,170495,1804145,595813
FetalEmbryonicStemCells_1,263209,86917,113401,62891
FetalFemaleGonad_1,14464707,938873,9856819,3669015
FetalHeart_1,5222901,297346,3639269,1286286
FetalHeart_2,14584805,966991,10073819,3543995
FetalIntestine_1,7998193,499284,5528624,1970285
FetalKidney_1,5317054,401435,3436477,1479142
FetalKidney_2,11705318,748394,7593956,3362968
FetalLiver_1,2160554,131915,1448423,580216
FetalLung_1,9124856,676389,5983047,2465420
FetalMaleGonad_1,6593597,401938,4448426,1743233
FetalMaleGonad_2,4000644,226758,2734580,1039306
FetalPancreas_1,8620615,563697,5452775,2604143
FetalPancreas_2,12033285,787948,7409193,3836144
FetalStomach_1,7009093,471366,4700156,1837571
FetalStomach_2,12793483,987777,8638923,3166783
Kidney_2,3363490,164332,2283939,915219
Liver_1,6483453,910249,4559680,1013524
Liver_2,189667,27262,131083,31322
Lung_1,19708852,1642780,14857606,3208466
Lung_2,8194686,826329,6337203,1031154
Lung_3,4271381,274177,3508699,488505
MammaryGlandLactation_1,4306446,176589,4021274,108583
MammaryGlandLactation_2,6742912,503441,5903331,336140
MammaryGlandPregnancy_1,16134289,1719403,10191235,4223651
MammaryGlandVirgin_1,5882425,405210,4181646,1295569
MammaryGlandVirgin_2,12599208,1003697,8756778,2838733
MammaryGlandVirgin_3,613091,62605,413371,137115
MammaryGlandVirgin_4,1522939,118275,1066731,337933
MesenchymalStemCells_1,8233830,729267,5561530,1943033
MesenchymalStemCellsPrimary_1,189883,17539,126828,45516
Muscle_1,1775168,137126,1288782,349260
NeonatalCalvaria_1,2114292,138901,1625317,350074
NeonatalCalvaria_2,5027745,398457,3821459,807829
NeonatalHeart_1,3138480,184528,2279040,674912
NeonatalMuscle_1,1585959,94643,1239614,251702
NeonatalMuscle_2,3814829,510307,2583543,720979
NeonatalPancreas_1,9464899,593876,6650543,2220480
NeonatalPancreas_2,19648767,1442145,14212077,3994545
NeonatalRib_1,1772694,112729,1359631,300334
NeonatalRib_2,6772252,458139,5081760,1232353
NeonatalRib_3,1013232,90197,745574,177461
NeonatalSkin_1,3758405,214965,2746752,796688
NeontalBrain_1,2758291,557025,1605976,595290
NeontalBrain_2,2664771,457213,1641566,565992
NeontalBrain_3,11663470,655294,8726185,2281991
Ovary_1,29792157,2233687,21168797,6389673
Ovary_2,886693,61590,647493,177610
Pancreas_1,12767338,1108481,9968261,1690596
PeripheralBlood_1,3255359,332173,2240669,682517
PeripheralBlood_2,3280258,237912,2594055,448291
PeripheralBlood_3,1995851,167125,1474099,354627
PeripheralBlood_4,97613,9306,70363,17944
PeripheralBlood_5,268729,28235,190947,49547
PeripheralBlood_6,528926,81457,330542,116927
Placenta_1,1329501,136873,968785,223843
Placenta_2,3624911,240501,2613706,770704
SmallIntestine_1,11600605,805601,7736999,3058005
SmallIntestine_2,4622517,445132,3324199,853186
SmallIntestine_3,3878094,316724,2875589,685781
Spleen_1,9589793,825153,7012074,1752566
Testis_1,16978016,1080397,14361396,1536223
Testis_2,7724963,705402,6329354,690207
Thymus_1,9563295,871235,6943619,1748441
Uterus_1,28409112,1845998,21805338,4757776
Uterus_2,3537911,212255,2732197,593459
